Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.794328234724253,1.4830762491647178e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,3.1622776601683795e-05,0.04769537386851931
Cntrl 2,3R,Adult,400,0.002811300646233065,3.9810717055349695e-05,0.03724064551516739
Cntrl 2,3R,Adult,400,0.002811300646233065,5.011872336272715e-05,0.028130041800337006
Cntrl 2,3R,Adult,400,0.002811300646233065,6.309573444801917e-05,0.022288997634470384
Cntrl 2,3R,Adult,400,0.002811300646233065,7.94328234724279e-05,0.01704176764185508
Cntrl 2,3R,Adult,400,0.002811300646233065,9.999999999999958e-05,0.013744144226802016
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0001258925411794161,0.010717747424566026
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00015848931924611044,0.008557377167759048
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00019952623149688666,0.006660551432562617
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00025118864315095617,0.00531410982182097
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00031622776601683534,0.00417849621754498
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00039810717055349367,0.0033055051202879678
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0005011872336272673,0.0026311987112514544
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0006309573444801866,0.002091068892054849
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0007943282347242724,0.0016556594904129536
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0009999999999999877,0.001311319542842986
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0012589254117941508,0.0010447918502513183
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0015848931924610915,0.0008278031173131611
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0019952623149688503,0.0006573656590327875
Cntrl 2,3R,Adult,400,0.002811300646233065,0.0025118864315095413,0.0005207502912169565
Cntrl 2,3R,Adult,400,0.002811300646233065,0.003162277660168328,0.00041328020558805854
Cntrl 2,3R,Adult,400,0.002811300646233065,0.003981071705534904,0.000328791436459395
Cntrl 2,3R,Adult,400,0.002811300646233065,0.005011872336272633,0.00026127535787630145
Cntrl 2,3R,Adult,400,0.002811300646233065,0.006309573444801814,0.0002072242931127357
Cntrl 2,3R,Adult,400,0.002811300646233065,0.00794328234724266,0.00016474927915727147
Cntrl 2,3R,Adult,400,0.002811300646233065,0.009999999999999796,0.00013061958601234388
Cntrl 2,3R,Adult,400,0.002811300646233065,0.012589254117941404,0.0001039493711209098
Cntrl 2,3R,Adult,400,0.002811300646233065,0.015848931924610784,8.260230443234047e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.019952623149688337,6.55902366174487e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.025118864315095205,5.2087655257389775e-05
